CustomerID,Recommendations
C0038,"[('C0030', 0.996), ('C0055', 0.984), ('C0160', 0.976)]"
C0039,"[('C0195', 0.989), ('C0169', 0.982), ('C0153', 0.952)]"
C0040,"[('C0115', 0.931), ('C0066', 0.879), ('C0168', 0.841)]"
C0041,"[('C0053', 0.96), ('C0141', 0.945), ('C0105', 0.921)]"
C0042,"[('C0020', 0.959), ('C0131', 0.929), ('C0125', 0.924)]"
C0043,"[('C0128', 0.985), ('C0097', 0.981), ('C0180', 0.965)]"
C0044,"[('C0074', 0.995), ('C0089', 0.979), ('C0066', 0.959)]"
C0045,"[('C0143', 0.994), ('C0028', 0.99), ('C0054', 0.971)]"
C0046,"[('C0059', 0.984), ('C0068', 0.977), ('C0122', 0.977)]"
C0047,"[('C0098', 0.977), ('C0049', 0.953), ('C0116', 0.949)]"
C0048,"[('C0011', 0.983), ('C0107', 0.979), ('C0001', 0.893)]"
C0049,"[('C0098', 0.958), ('C0047', 0.953), ('C0034', 0.897)]"
C0050,"[('C0185', 0.979), ('C0026', 0.914), ('C0117', 0.894)]"
C0051,"[('C0105', 0.962), ('C0100', 0.956), ('C0023', 0.952)]"
C0052,"[('C0112', 0.952), ('C0192', 0.952), ('C0031', 0.945)]"
C0053,"[('C0105', 0.976), ('C0041', 0.96), ('C0057', 0.944)]"
C0054,"[('C0143', 0.983), ('C0028', 0.98), ('C0045', 0.971)]"
C0055,"[('C0038', 0.984), ('C0072', 0.983), ('C0189', 0.983)]"
C0056,"[('C0106', 0.966), ('C0027', 0.887), ('C0142', 0.843)]"
C0057,"[('C0105', 0.99), ('C0053', 0.944), ('C0051', 0.941)]"
C0058,"[('C0015', 0.98), ('C0033', 0.964), ('C0036', 0.934)]"
C0059,"[('C0046', 0.984), ('C0068', 0.963), ('C0065', 0.961)]"
C0060,"[('C0009', 0.978), ('C0014', 0.978), ('C0180', 0.945)]"
C0061,"[('C0063', 0.982), ('C0167', 0.979), ('C0132', 0.958)]"
C0062,"[('C0132', 0.988), ('C0197', 0.975), ('C0198', 0.973)]"
C0063,"[('C0061', 0.982), ('C0132', 0.97), ('C0197', 0.964)]"
C0064,"[('C0037', 0.983), ('C0149', 0.952), ('C0170', 0.896)]"
C0065,"[('C0156', 0.994), ('C0068', 0.989), ('C0059', 0.961)]"
C0066,"[('C0089', 0.963), ('C0044', 0.959), ('C0196', 0.945)]"
C0067,"[('C0122', 0.902), ('C0194', 0.884), ('C0154', 0.872)]"
C0068,"[('C0065', 0.989), ('C0156', 0.98), ('C0046', 0.977)]"
C0069,"[('C0164', 0.987), ('C0103', 0.948), ('C0086', 0.915)]"
C0070,"[('C0135', 0.967), ('C0167', 0.861), ('C0074', 0.843)]"
C0071,"[('C0192', 0.977), ('C0151', 0.972), ('C0077', 0.968)]"
C0072,"[('C0160', 0.988), ('C0055', 0.983), ('C0038', 0.975)]"
C0073,"[('C0197', 0.99), ('C0132', 0.971), ('C0167', 0.959)]"
C0074,"[('C0044', 0.995), ('C0089', 0.976), ('C0066', 0.942)]"
C0075,"[('C0017', 0.969), ('C0124', 0.936), ('C0165', 0.916)]"
C0076,"[('C0031', 0.944), ('C0174', 0.941), ('C0025', 0.938)]"
C0077,"[('C0032', 0.996), ('C0083', 0.991), ('C0025', 0.985)]"
C0078,"[('C0080', 0.999), ('C0110', 0.995), ('C0140', 0.992)]"
C0079,"[('C0117', 0.996), ('C0185', 0.941), ('C0026', 0.938)]"
C0080,"[('C0078', 0.999), ('C0110', 0.996), ('C0140', 0.993)]"
C0081,"[('C0179', 0.997), ('C0127', 0.902), ('C0086', 0.846)]"
C0082,"[('C0087', 0.99), ('C0163', 0.982), ('C0188', 0.963)]"
C0083,"[('C0032', 0.999), ('C0077', 0.991), ('C0025', 0.98)]"
C0084,"[('C0162', 0.972), ('C0093', 0.97), ('C0090', 0.951)]"
C0085,"[('C0120', 0.983), ('C0129', 0.966), ('C0158', 0.885)]"
C0086,"[('C0069', 0.915), ('C0111', 0.901), ('C0010', 0.895)]"
C0087,"[('C0082', 0.99), ('C0188', 0.982), ('C0013', 0.979)]"
C0088,"[('C0002', 0.957), ('C0142', 0.903), ('C0043', 0.889)]"
C0089,"[('C0044', 0.979), ('C0074', 0.976), ('C0066', 0.963)]"
C0090,"[('C0162', 0.955), ('C0084', 0.951), ('C0093', 0.942)]"
C0091,"[('C0181', 0.898), ('C0195', 0.854), ('C0113', 0.83)]"
C0092,"[('C0193', 0.992), ('C0178', 0.954), ('C0007', 0.938)]"
C0093,"[('C0162', 0.983), ('C0021', 0.975), ('C0084', 0.97)]"
C0094,"[('C0029', 0.98), ('C0157', 0.974), ('C0033', 0.926)]"
C0095,"[('C0130', 0.994), ('C0150', 0.993), ('C0112', 0.983)]"
C0096,"[('C0171', 0.987), ('C0148', 0.98), ('C0168', 0.939)]"
C0097,"[('C0180', 0.996), ('C0128', 0.983), ('C0043', 0.981)]"
C0098,"[('C0139', 0.979), ('C0047', 0.977), ('C0024', 0.965)]"
C0099,"[('C0104', 1.0), ('C0188', 0.997), ('C0102', 0.991)]"
C0100,"[('C0023', 0.998), ('C0105', 0.971), ('C0051', 0.956)]"
C0101,"[('C0145', 0.998), ('C0173', 0.997), ('C0021', 0.981)]"
C0102,"[('C0104', 0.995), ('C0099', 0.991), ('C0012', 0.988)]"
C0103,"[('C0069', 0.948), ('C0199', 0.932), ('C0119', 0.931)]"
C0104,"[('C0099', 1.0), ('C0102', 0.995), ('C0188', 0.994)]"
C0105,"[('C0057', 0.99), ('C0053', 0.976), ('C0100', 0.971)]"
C0106,"[('C0056', 0.966), ('C0134', 0.92), ('C0027', 0.886)]"
C0107,"[('C0011', 0.983), ('C0048', 0.979), ('C0001', 0.966)]"
C0108,"[('C0155', 0.976), ('C0012', 0.965), ('C0102', 0.946)]"
C0109,"[('C0156', 0.938), ('C0008', 0.914), ('C0075', 0.913)]"
C0110,"[('C0080', 0.996), ('C0078', 0.995), ('C0140', 0.986)]"
C0111,"[('C0086', 0.901), ('C0010', 0.9), ('C0019', 0.871)]"
C0112,"[('C0095', 0.983), ('C0130', 0.958), ('C0150', 0.957)]"
C0113,"[('C0004', 0.987), ('C0165', 0.946), ('C0012', 0.93)]"
C0114,"[('C0182', 0.986), ('C0170', 0.977), ('C0149', 0.927)]"
C0115,"[('C0040', 0.931), ('C0007', 0.93), ('C0140', 0.911)]"
C0116,"[('C0047', 0.949), ('C0189', 0.938), ('C0157', 0.922)]"
C0117,"[('C0079', 0.996), ('C0026', 0.964), ('C0185', 0.947)]"
C0118,"[('C0184', 0.939), ('C0191', 0.902), ('C0137', 0.874)]"
C0119,"[('C0121', 0.977), ('C0172', 0.939), ('C0009', 0.933)]"
C0120,"[('C0129', 0.993), ('C0085', 0.983), ('C0133', 0.924)]"
C0121,"[('C0119', 0.977), ('C0010', 0.95), ('C0009', 0.948)]"
C0122,"[('C0046', 0.977), ('C0068', 0.967), ('C0059', 0.942)]"
C0123,"[('C0005', 0.985), ('C0159', 0.976), ('C0186', 0.958)]"
C0124,"[('C0017', 0.987), ('C0075', 0.936), ('C0057', 0.862)]"
C0125,"[('C0035', 0.936), ('C0042', 0.924), ('C0176', 0.905)]"
C0126,"[('C0153', 0.905), ('C0155', 0.901), ('C0108', 0.9)]"
C0127,"[('C0069', 0.909), ('C0081', 0.902), ('C0172', 0.901)]"
C0128,"[('C0043', 0.985), ('C0097', 0.983), ('C0180', 0.966)]"
C0129,"[('C0120', 0.993), ('C0085', 0.966), ('C0112', 0.942)]"
C0130,"[('C0150', 1.0), ('C0095', 0.994), ('C0112', 0.958)]"
C0131,"[('C0036', 0.995), ('C0015', 0.981), ('C0144', 0.972)]"
C0132,"[('C0197', 0.995), ('C0062', 0.988), ('C0073', 0.971)]"
C0133,"[('C0129', 0.937), ('C0052', 0.928), ('C0120', 0.924)]"
C0134,"[('C0106', 0.92), ('C0056', 0.799), ('C0027', 0.759)]"
C0135,"[('C0070', 0.967), ('C0167', 0.924), ('C0074', 0.891)]"
C0136,"[('C0045', 0.917), ('C0143', 0.887), ('C0101', 0.881)]"
C0137,"[('C0152', 0.988), ('C0001', 0.988), ('C0191', 0.956)]"
C0138,"[('C0200', 0.978), ('C0096', 0.852), ('C0114', 0.848)]"
C0139,"[('C0098', 0.979), ('C0024', 0.978), ('C0194', 0.967)]"
C0140,"[('C0080', 0.993), ('C0078', 0.992), ('C0110', 0.986)]"
C0141,"[('C0041', 0.945), ('C0054', 0.941), ('C0051', 0.929)]"
C0142,"[('C0002', 0.975), ('C0027', 0.961), ('C0177', 0.947)]"
C0143,"[('C0045', 0.994), ('C0028', 0.99), ('C0054', 0.983)]"
C0144,"[('C0036', 0.981), ('C0131', 0.972), ('C0015', 0.966)]"
C0145,"[('C0173', 1.0), ('C0101', 0.998), ('C0021', 0.979)]"
C0146,"[('C0177', 0.993), ('C0178', 0.99), ('C0005', 0.962)]"
C0147,"[('C0184', 0.925), ('C0181', 0.823), ('C0161', 0.807)]"
C0148,"[('C0171', 0.982), ('C0096', 0.98), ('C0163', 0.952)]"
C0149,"[('C0037', 0.992), ('C0170', 0.977), ('C0182', 0.972)]"
C0150,"[('C0130', 1.0), ('C0095', 0.993), ('C0112', 0.957)]"
C0151,"[('C0077', 0.976), ('C0032', 0.973), ('C0071', 0.972)]"
C0152,"[('C0137', 0.988), ('C0001', 0.955), ('C0107', 0.93)]"
C0153,"[('C0155', 0.962), ('C0012', 0.962), ('C0013', 0.957)]"
C0154,"[('C0194', 0.879), ('C0067', 0.872), ('C0024', 0.866)]"
C0155,"[('C0012', 0.985), ('C0013', 0.982), ('C0104', 0.977)]"
C0156,"[('C0065', 0.994), ('C0068', 0.98), ('C0109', 0.938)]"
C0157,"[('C0094', 0.974), ('C0029', 0.958), ('C0189', 0.948)]"
C0158,"[('C0006', 0.923), ('C0187', 0.892), ('C0085', 0.885)]"
C0159,"[('C0005', 0.996), ('C0123', 0.976), ('C0186', 0.97)]"
C0160,"[('C0072', 0.988), ('C0038', 0.976), ('C0055', 0.959)]"
C0161,"[('C0084', 0.851), ('C0090', 0.848), ('C0147', 0.807)]"
C0162,"[('C0093', 0.983), ('C0175', 0.976), ('C0084', 0.972)]"
C0163,"[('C0082', 0.982), ('C0087', 0.976), ('C0013', 0.957)]"
C0164,"[('C0069', 0.987), ('C0103', 0.908), ('C0127', 0.891)]"
C0165,"[('C0004', 0.982), ('C0102', 0.963), ('C0113', 0.946)]"
C0166,"[('C0199', 0.95), ('C0197', 0.943), ('C0062', 0.942)]"
C0167,"[('C0061', 0.979), ('C0073', 0.959), ('C0063', 0.958)]"
C0168,"[('C0006', 0.978), ('C0096', 0.939), ('C0171', 0.93)]"
C0169,"[('C0039', 0.982), ('C0153', 0.957), ('C0012', 0.953)]"
C0170,"[('C0182', 0.987), ('C0149', 0.977), ('C0114', 0.977)]"
C0171,"[('C0096', 0.987), ('C0148', 0.982), ('C0168', 0.93)]"
C0172,"[('C0019', 0.996), ('C0119', 0.939), ('C0127', 0.901)]"
C0173,"[('C0145', 1.0), ('C0101', 0.997), ('C0021', 0.979)]"
C0174,"[('C0191', 0.986), ('C0190', 0.956), ('C0076', 0.941)]"
C0175,"[('C0101', 0.977), ('C0162', 0.976), ('C0145', 0.968)]"
C0176,"[('C0125', 0.905), ('C0144', 0.885), ('C0035', 0.858)]"
C0177,"[('C0146', 0.993), ('C0178', 0.986), ('C0186', 0.961)]"
C0178,"[('C0146', 0.99), ('C0177', 0.986), ('C0159', 0.958)]"
C0179,"[('C0081', 0.997), ('C0127', 0.881), ('C0124', 0.856)]"
C0180,"[('C0097', 0.996), ('C0128', 0.966), ('C0043', 0.965)]"
C0181,"[('C0190', 0.905), ('C0091', 0.898), ('C0195', 0.863)]"
C0182,"[('C0170', 0.987), ('C0114', 0.986), ('C0149', 0.972)]"
C0183,"[('C0016', 0.962), ('C0026', 0.875), ('C0067', 0.823)]"
C0184,"[('C0118', 0.939), ('C0147', 0.925), ('C0181', 0.852)]"
C0185,"[('C0050', 0.979), ('C0117', 0.947), ('C0079', 0.941)]"
C0186,"[('C0005', 0.978), ('C0159', 0.97), ('C0177', 0.961)]"
C0187,"[('C0006', 0.928), ('C0171', 0.92), ('C0168', 0.908)]"
C0188,"[('C0099', 0.997), ('C0104', 0.994), ('C0013', 0.989)]"
C0189,"[('C0055', 0.983), ('C0038', 0.968), ('C0030', 0.967)]"
C0190,"[('C0174', 0.956), ('C0191', 0.906), ('C0181', 0.905)]"
C0191,"[('C0174', 0.986), ('C0137', 0.956), ('C0001', 0.939)]"
C0192,"[('C0031', 0.98), ('C0071', 0.977), ('C0025', 0.974)]"
C0193,"[('C0092', 0.992), ('C0178', 0.932), ('C0007', 0.917)]"
C0194,"[('C0024', 0.992), ('C0139', 0.967), ('C0098', 0.931)]"
C0195,"[('C0039', 0.989), ('C0169', 0.944), ('C0108', 0.922)]"
C0196,"[('C0066', 0.945), ('C0170', 0.916), ('C0114', 0.898)]"
C0197,"[('C0132', 0.995), ('C0073', 0.99), ('C0062', 0.975)]"
C0198,"[('C0014', 0.989), ('C0062', 0.973), ('C0009', 0.96)]"
C0199,"[('C0062', 0.961), ('C0166', 0.95), ('C0009', 0.948)]"
C0200,"[('C0138', 0.978), ('C0022', 0.867), ('C0143', 0.822)]"
